id_escopo_autuacao,id_uf,id_amparo_legal,id_infracao,date,quantidade_autos
3,12,3,3,2022-12-01,4
3,10,4,5,2022-07-01,316
1,5,2,6,2022-08-01,2
3,5,2,3,2022-08-01,23
3,12,2,5,2022-08-01,2
1,3,3,8,2022-09-01,2
2,4,1,1,2022-09-01,1
3,5,3,4,2022-09-01,371
2,7,1,1,2022-10-01,219
3,5,3,5,2022-10-01,865
1,5,3,8,2022-11-01,2
3,9,3,3,2022-12-01,361
3,10,3,4,2022-12-01,453
3,12,3,5,2022-12-01,34
1,5,4,6,2022-02-01,2
3,9,4,3,2022-02-01,459
3,9,4,5,2022-03-01,986
3,11,4,3,2022-03-01,352
2,9,1,1,2022-04-01,3804
3,5,4,4,2022-04-01,223
3,9,4,3,2022-04-01,905
3,11,4,5,2022-04-01,452
1,11,4,7,2022-05-01,5
2,9,1,1,2022-05-01,4343
3,4,4,4,2022-05-01,135
3,4,4,3,2022-05-01,171
3,12,4,5,2022-05-01,160
1,3,4,7,2022-06-01,4
2,12,1,1,2022-06-01,544
3,2,4,5,2022-06-01,1
3,4,4,4,2022-06-01,52
3,5,4,4,2022-06-01,259
1,9,4,7,2022-07-01,8
3,8,3,5,2022-08-01,2
3,10,2,5,2022-08-01,29
3,11,4,5,2022-08-01,3
1,5,3,7,2022-09-01,1
1,5,3,6,2022-09-01,3
1,11,3,6,2022-09-01,6
3,3,3,5,2022-09-01,1017
3,3,3,4,2022-10-01,346
3,9,3,3,2022-10-01,639
3,10,3,4,2022-10-01,277
3,4,3,5,2022-11-01,299
3,5,3,5,2022-11-01,952
3,7,3,4,2022-11-01,124
3,8,3,3,2022-11-01,380
3,10,3,3,2022-11-01,525
1,5,3,7,2022-12-01,3
3,5,3,4,2022-10-01,364
1,9,3,8,2022-11-01,5
1,9,3,6,2022-11-01,11
1,11,3,8,2022-11-01,1
3,5,3,3,2022-11-01,347
1,5,3,6,2022-12-01,5
2,5,1,1,2022-12-01,61
2,12,1,1,2022-12-01,84
3,3,4,5,2022-08-01,1
3,3,2,4,2022-08-01,18
3,3,3,3,2022-08-01,134
3,7,3,3,2022-08-01,10
3,7,3,5,2022-08-01,110
3,9,2,3,2022-08-01,83
3,12,2,3,2022-08-01,14
3,12,3,3,2022-08-01,116
3,3,3,3,2022-09-01,354
1,5,3,6,2022-10-01,15
2,12,1,1,2022-10-01,2483
3,11,3,5,2022-10-01,242
3,12,3,4,2022-10-01,166
3,12,3,3,2022-10-01,292
3,12,3,5,2022-10-01,376
1,4,3,6,2022-12-01,4
1,8,3,7,2022-12-01,1
1,7,4,8,2022-03-01,1
3,11,4,4,2022-03-01,337
3,12,4,3,2022-03-01,154
1,9,4,8,2022-04-01,4
2,4,1,1,2022-05-01,770
3,1,4,3,2022-05-01,13
3,3,4,5,2022-05-01,586
3,9,4,4,2022-05-01,790
3,9,4,5,2022-05-01,1416
1,5,4,6,2022-06-01,4
1,12,4,7,2022-06-01,5
3,9,4,4,2022-06-01,618
2,9,1,1,2022-07-01,3565
1,12,3,6,2022-08-01,1
2,5,1,1,2022-08-01,1870
3,3,3,5,2022-08-01,376
3,5,4,3,2022-08-01,4
3,5,3,4,2022-08-01,169
3,9,4,5,2022-08-01,57
3,11,2,3,2022-08-01,5
3,11,2,5,2022-08-01,7
